Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20243411,6000,Charleroi,apartment-block,for-sale,419900419900,,263.0,5.0,3.0,No,Semi equipped,To renovate,2.0,3.0,,1980.0,567.0,G,Non flood zone,,,No,No,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment-block/for-sale/charleroi/6000/20243411
20243406,1702,Dilbeek,house,for-sale,489000489000,217.0,128.0,3.0,1.0,No,Hyper equipped,As new,3.0,,,2017.0,108.0,B,,,22.0,,No,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1702/20243406
20243396,1785,Merchtem,house,for-sale,569000569000,577.0,160.0,4.0,1.0,,Installed,Good,4.0,2.0,,1989.0,319.0,D,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/merchtem/1785/20243396
20243395,8430,Middelkerke,apartment,for-sale,270000270000,,75.0,1.0,1.0,,Installed,,,,4.0,2025.0,,Not specified,Non flood zone,,6.0,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20243395
20243388,8480,Ichtegem,farmhouse,for-sale,270000270000,3576.0,196.0,2.0,,,,To restore,4.0,,,,1248.0,F,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/farmhouse/for-sale/ichtegem/8480/20243388
20243373,7760,Celles,house,for-sale,285000285000,,128.0,3.0,1.0,,Installed,As new,2.0,,,,148.0,B,,25.0,8.0,,,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/celles/7760/20243373
20243385,7500,Tournai,villa,for-sale,15000001500000,2250.0,500.0,5.0,3.0,,Hyper equipped,As new,4.0,,,2018.0,63.0,A,Non flood zone,,,Yes,,,Not a public sale,,https://www.immoweb.be/en/classified/villa/for-sale/tournai/7500/20243385
20213641,8434,Westende,apartment,for-sale,475000475000,,102.0,2.0,1.0,Yes,,Just renovated,,10.0,,1984.0,270.0,C,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20213641
20217600,9000,Gent,apartment,for-sale,395000395000,,82.0,3.0,1.0,,Hyper equipped,,4.0,2.0,,2024.0,,A,,97.0,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20217600
20217623,1180,Ukkel,apartment,for-sale,559000559000,,120.0,2.0,2.0,,Hyper equipped,Good,4.0,,,,65.0,B,,,22.0,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/ukkel/1180/20217623
20257768,9308,Aalst-Hofstade,house,for-sale,429000429000,1558.0,,4.0,1.0,,Installed,To be done up,4.0,,,1969.0,261.0,C,,920.0,15.0,,,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/aalst-hofstade/9308/20257768
20193211,2590,Berlaar,house,for-sale,189000189000,780.0,135.0,2.0,1.0,,Semi equipped,To renovate,3.0,,,1939.0,1097.0,F,Non flood zone,,,,,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/20193211
20194575,9830,Sint-Martens-Latem,house,for-sale,745000745000,1416.0,175.0,3.0,1.0,,,To restore,4.0,,,1960.0,666.0,F,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/sint-martens-latem/9830/20194575
20257340,7750,Mont-De-Lenclus,exceptional-property,for-sale,950000950000,7793.0,544.0,4.0,4.0,No,,,3.0,,,1971.0,,C,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/mont-de-lenclus/7750/20257340
20236052,7830,Silly,house,for-sale,235000235000,1466.0,142.0,2.0,1.0,,,,4.0,,,,415.0,E,,1160.0,,,,17,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/silly/7830/20236052
20234011,8630,Veurne,house,for-sale,279000279000,176.0,174.0,5.0,1.0,,,To renovate,2.0,3.0,,1964.0,425.0,E,,80.0,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20234011
20233993,8530,Harelbeke,house,for-sale,310000310000,56.0,112.0,4.0,1.0,,,As new,3.0,2.0,,1930.0,173.0,B,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/20233993
20146620,8000,Brugge,villa,for-sale,799000799000840000,5000.0,401.0,3.0,3.0,,,Good,4.0,,,1949.0,357.0,D,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/villa/for-sale/brugge/8000/20146620
20243347,9636,Nederzwalm-Hermelgem,mansion,for-sale,425000425000,922.0,,10.0,,,Not installed,,,3.0,,,,Not specified,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/mansion/for-sale/nederzwalm-hermelgem/9636/20243347
20243344,9636,Nederzwalm-Hermelgem,apartment-block,for-sale,425000425000,922.0,,10.0,,,Not installed,,,3.0,,,,Not specified,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment-block/for-sale/nederzwalm-hermelgem/9636/20243344
20192056,9032,Wondelgem,house,for-sale,295000295000,1490.0,367.0,5.0,2.0,No,Not installed,To renovate,3.0,4.0,,1867.0,919.0,F,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/wondelgem/9032/20192056
20243342,8400,Oostende,apartment,for-sale,164000164000,,,1.0,1.0,,,Good,2.0,,5.0,1999.0,122.0,B,,,,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20243342
20241267,6717,Attert,house,for-sale,495000495000,538.0,275.0,4.0,1.0,No,Installed,,,,,,127.0,B,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/attert/6717/20241267
20243317,2650,Edegem,apartment,for-sale,219000219000,,92.0,2.0,1.0,,,Good,,2.0,1.0,1971.0,227.0,C,,,10.0,,,12,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/edegem/2650/20243317
20243314,9880,Aalter,apartment,for-sale,189000189000,,82.0,2.0,1.0,,,To be done up,2.0,4.0,4.0,1986.0,387.0,D,Non flood zone,,,,Yes,3,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/aalter/9880/20243314
20243312,8200,Brugge,apartment,for-sale,265000265000,,80.0,2.0,1.0,,,Good,,,2.0,1962.0,158.0,B,Non flood zone,,4.0,,No,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8200/20243312
20243305,8000,Brugge,apartment,for-sale,320000320000,,97.0,2.0,1.0,,,As new,,9.0,4.0,2017.0,95.0,A,Non flood zone,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/20243305
